,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
1553,2732,192726702,214786990,1022654,0,45039,0,206190194,86674,40.15,5.05,129.0
1554,305,118029173,159222017,843560,0,10957,0,72541517,55328,40.17,5.01,129.0
1555,1162,110831210,145759277,771163,0,2394,0,110251750,37657,40.18,5.1,129.0
1556,116,142163328,179337876,823127,139264,1998,272,136396344,56285,40.22,5.48,129.0
1557,4193,210824462,245882332,1065290,0,106270,0,225841328,109005,40.29,5.36,129.1
1558,903,130807047,183152305,950070,0,16300,0,159580093,53766,40.32,5.05,129.0
1559,224,149354559,183814729,786552,0,8082,0,163370110,60797,40.25,5.03,129.0
1560,236,149478899,190545184,1010382,0,2381,0,166902573,47408,40.22,4.98,128.9
1561,94,132607688,168530926,856256,167936,1527,328,125629626,30423,40.29,5.43,129.0
1562,135,179220777,232398590,1207014,0,75335,0,168149972,32112,40.18,5.12,129.0
1563,554,194438013,237844271,1315289,57344,26813,112,172717795,43004,40.16,5.02,129.0
1564,288,137587201,160910759,879685,0,8680,0,141032756,39541,40.21,5.16,129.0
1565,79,83807431,140495827,758795,0,1955,0,98301690,34408,40.16,4.97,128.9
1566,81,141423933,170315167,864934,225280,1905,440,151360901,38735,40.29,5.47,129.0
1567,4779,182063118,216908438,1426203,0,69190,0,99886362,43978,40.26,5.25,129.0
1568,506,117458884,172787909,857448,20500480,26741,40040,139608051,47055,40.23,5.09,129.0
1569,658,140633836,184734556,856697,0,10685,0,139751486,57712,40.19,5.11,129.0
1570,415,159254501,177797336,873092,6881280,3581,13440,168937193,51512,40.29,5.68,129.0
1571,5112,228160729,329026997,1719230,1081344,129289,2112,184483355,58551,40.19,5.43,129.0
1572,9071,202338721,247299502,1299372,0,103616,0,212810681,83353,40.21,5.18,129.1
1573,1520,144929799,176240992,894181,0,15780,0,145985890,47572,40.23,5.2,129.0
1574,302,182816359,223304472,1326234,0,15296,0,189173042,62673,40.21,5.12,129.0
1575,92,121203764,154854930,827260,86016,1592,168,97342321,37580,40.24,5.11,128.9
1576,216,101542686,140630298,889403,253952,2455,496,120015201,40947,40.28,5.45,129.0
1577,6086,179958621,221361223,1198477,0,64516,0,175131615,68692,40.32,5.21,129.0
1578,1281,210603040,244020104,1231927,28672,16705,56,223482458,59967,40.24,5.13,129.0
1579,426,110134896,154603352,895569,0,6569,0,124600936,33913,40.25,5.04,128.9
1580,325,118746840,161578022,851645,0,1340,0,138199670,49780,40.23,5.07,128.9
