,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
1123,25965,0,216457,260848342,132703,320020696,207763136,2396461,0,42.91,7.51,135.3
1124,16012,110592,180679,386019135,184926,406020880,264614538,3174719,216,42.45,7.03,135.5
1125,25642,0,308166,505332598,241829,539929918,401111263,3917646,0,42.56,7.89,135.4
1126,10087,0,367517,422188791,182718,478316654,311270944,3306515,0,42.91,7.08,135.5
1127,4091,0,298297,356327496,140791,383761347,263547047,2803829,0,42.02,7.39,135.6
1128,9515,0,247800,365054933,180459,414751825,263615333,3383660,0,42.53,7.29,135.5
1129,11757,110592,62041,257373180,118720,285014187,186100786,2181903,216,41.98,7.46,135.6
1130,20333,0,441837,585156124,294412,611131633,459228813,4435839,0,42.36,8.18,135.5
1131,9296,0,326456,303458227,123305,360061097,208707249,2763405,0,42.15,7.66,135.8
1132,3768,0,295047,402043312,148755,416109094,281140558,3185310,0,42.49,7.54,135.8
1133,7018,0,268157,354150822,145434,387469740,257072756,2865852,0,42.13,7.85,135.7
1134,15909,110592,276739,443309389,179036,487548386,322074644,3731040,216,42.29,7.94,135.7
1135,5595,0,362145,356970306,163057,364208581,264787590,2827251,0,42.44,7.57,135.9
1136,14051,18542592,166817,442237711,204609,485168257,323957001,4053858,36216,42.49,7.37,135.9
1137,12465,0,312396,423921388,172870,427467945,292732540,3113106,0,41.99,7.63,135.9
1138,2948,6586368,287138,280181768,132824,319319887,208436066,2520676,12864,42.46,8.45,135.9
1139,13364,0,328413,417100211,167046,458837562,308589796,3438135,0,42.52,7.66,135.9
1140,17063,0,342648,335907982,140830,377072276,285308667,2603491,0,42.04,7.37,136.1
1141,27850,516096,453919,514335201,226684,621022964,430832716,4922655,1008,42.23,7.6,136.0
1142,16333,0,162090,406521049,164176,430810232,303882516,3265410,0,43.08,8.02,136.0
1143,14496,368640,172508,376282257,160150,436745042,269376222,3173114,720,40.62,7.29,136.1
1144,6079,946176,207009,317598481,134599,363865136,232462133,2841051,1848,41.0,7.87,135.9
1145,20361,0,487001,374732149,146452,392050044,292107778,2861339,0,42.26,7.9,135.8
1146,8410,0,237180,405413425,162615,417518504,285358524,3304980,0,42.05,7.17,135.9
1147,9314,0,229794,363905520,152527,397670302,270526617,3040899,0,43.08,6.78,135.8
1148,14808,110592,165999,363608903,130055,366608309,247764077,2847381,216,42.6,6.67,135.7
1149,9483,0,171995,394903652,161443,409501506,269889550,3007883,0,42.61,6.83,135.6
1150,21191,0,519653,454310854,199525,519825589,380021355,3565717,0,42.98,6.83,135.5
1151,8147,0,295026,377772530,168320,401517433,278428957,2833701,0,43.06,6.74,135.5
1152,5718,0,220966,315884546,148900,370697530,262131847,2530095,0,42.09,7.05,135.5
1153,3054,110592,261598,418710403,202439,462077566,302659467,3831708,216,42.26,8.2,135.4
1154,4372,28672,371574,350972460,182281,390327311,257544000,3299303,56,41.23,7.6,135.5
1155,18746,0,321338,401344031,152361,455087059,337132638,3536198,0,42.67,7.69,135.5
1156,9394,0,254920,323054294,143920,402261166,250945980,3144028,0,41.87,8.03,135.6
1157,4232,0,282536,331698214,152873,376478041,257758126,2909149,0,42.46,7.65,135.7
1158,9245,110592,182572,352979947,160226,395846948,273913061,3051423,216,42.38,7.96,135.8
1159,16401,0,303465,374792420,155835,421715193,280618704,2776351,0,41.89,7.6,135.8
1160,18690,0,397187,455116052,196336,479692620,365602849,3020568,0,42.56,7.81,135.9
1161,11232,0,201284,312522149,143023,364674024,250075515,2818060,0,41.89,7.4,135.9
1162,7930,0,241526,289083779,114661,339970466,225133953,2542426,0,42.49,7.42,135.9
1163,9121,110592,241821,365000087,148345,399528727,269159735,3078142,216,42.44,7.55,135.9
1164,9138,28672,224636,399498541,170502,415271062,277028659,3295979,56,41.82,7.57,135.9
1165,25451,0,277906,463452088,200826,518183139,372883228,4136978,0,42.46,7.43,135.8
1166,17372,0,215125,378195118,164871,400870627,263327304,3183542,0,42.89,7.53,135.9
1167,17386,17727488,163018,340028480,157855,352105696,242876789,2832901,34624,43.18,7.43,135.9
1168,12238,196608,139751,378059846,171682,389081573,273900378,2957296,384,42.86,7.42,136.0
1169,15419,0,187828,345710632,129117,382741570,284280691,2747174,0,42.75,7.43,136.0
1170,26728,0,408652,491012356,225413,507524057,371167882,3340648,0,42.77,7.22,136.1
1171,12666,0,219845,429915300,179457,434724906,285370992,3444828,0,42.77,7.26,136.1
1172,11473,200704,357363,367300452,102236,409177314,262672222,2905282,392,42.99,6.78,136.1
1173,6352,282624,242497,374512114,188325,448060156,277514237,3544389,552,43.05,6.77,135.9
1174,15660,0,160286,395579636,174576,419385326,276170195,3310678,0,42.89,6.86,135.9
1175,22553,0,227563,450557922,180041,507494482,370090437,3601048,0,41.96,7.17,135.8
