,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
334,63683,327028761,8347648,16304,2291089,31499,410150486,332663002,2035,39.98,6.11,131.8
335,72311,355432493,8441856,16488,2080105,160505,364653622,317185238,12495,39.98,6.26,131.8
336,66408,250583120,7999488,15624,1594445,30690,304009146,246963859,2801,39.94,6.17,131.8
337,57033,243027335,8065024,15752,1647914,33256,303111395,214280911,1602,39.95,6.03,131.9
338,83032,246337102,7700480,15040,1591466,20987,318876619,221693199,2657,39.94,6.06,131.8
339,64117,323352630,7925760,15480,1914506,24668,367070336,318611855,1129,40.0,6.11,131.8
340,120766,312642982,8130560,15880,2061516,182451,361989092,262675765,1558,39.92,6.26,131.8
341,56372,261686386,8654848,16904,1642493,35056,292629657,228840761,3484,39.95,6.07,131.9
342,90801,276494477,8200192,16016,1649794,41772,307668016,279144819,1457,39.93,5.97,131.9
343,86893,302786141,8347648,16304,1978676,20251,380012915,306016282,2150,39.91,6.04,131.9
344,82037,266202882,8564736,16728,1516712,14278,289095795,270854830,1675,39.93,6.06,131.8
345,93639,312586429,8093696,15808,1821339,151966,345794558,310568387,9909,39.94,6.2,131.8
346,61801,200650325,8757248,17104,1108160,55685,244284882,192746046,1556,39.9,6.09,131.8
347,67840,182667547,7401472,14456,1034806,34131,225439814,192850261,1977,39.88,5.92,131.8
348,46682,133142211,8060928,15744,730321,28702,191866272,138633965,1002,39.87,5.92,131.8
349,34189,145619580,7307264,14272,822864,24403,176088652,151694722,1009,39.86,5.99,131.7
350,57979,260752011,7516160,14680,1244811,142579,277320479,222776849,8968,39.94,6.15,131.7
351,72547,193756481,7544832,14736,1264582,74422,236882521,178710283,2636,39.94,6.01,131.7
